CONFORMED-NAME	TICKER	SIC	CIK	YEAR
ServiceNow, Inc.-16	NOW	7372	1373715	2016
ServiceNow, Inc.-16	NOW	7372	1373715	2016
Tableau Software Inc-16	DATA	7372	1303652	2016
La Quinta Holdings Inc.-16	Unknown	7011	1594617	2016
Benefitfocus,Inc.-16	BNFT	7372	1576169	2016
Data Call Technologies-16	Unknown	7389	1321828	2016
Hilton Worldwide Holdings Inc.-16	HLT	7011	1585689	2016
DUN & BRADSTREET CORP/NW-16	DNB	7320	1115222	2016
AEROHIVE NETWORKS, INC-16	HIVE	7373	1372414	2016
WEB.COM GROUP, INC.-16	WWWW	7372	1095291	2016
SOTHEBYS-16	BID	7389	823094	2016
QUALYS, INC.-16	QLYS	7372	1107843	2016
Exterran Corp-16	EXTN	7359	1635881	2016
SYNTEL INC-16	SYNT	7371	1040426	2016
Monotype Imaging Holdings Inc.-16	TYPE	7371	1385292	2016
CEDAR FAIR L P-16	FUN	7990	811532	2016
BRIGHTCOVE INC-16	BCOV	7374	1313275	2016
GrubHub Inc.-16	GRUB	7389	1594109	2016
MICROSTRATEGY INC-16	MSTR	7372	1050446	2016
MSCI Inc.-16	MSCI	7389	1408198	2016
QLIK TECHNOLOGIES INC-16	QLIK	7372	1305294	2016
MERCADOLIBRE INC-16	MELI	7389	1099590	2016
National CineMedia, Inc.-16	NCMI	7310	1377630	2016
Civeo Corp-16	Unknown	7000	1590584	2016
HEALTHSTREAM INC-16	HSTM	7370	1095565	2016
Zendesk, Inc.-16	ZEN	7374	1463172	2016
Inovalon Holdings, Inc.-16	Unknown	7374	1619954	2016
ULTIMATE SOFTWARE GROUP INC-16	ULTI	7372	1016125	2016
Black Knight Financial Services, Inc.-16	BKFS	7372	1627014	2016
SOHU COM INC-16	SOHU	7374	1104188	2016
Fleetmatics Group plc-16	FLTX	7372	1526160	2016
NCI, Inc.-16	NCIT	7373	1334478	2016
SYNCHRONOSS TECHNOLOGIES INC-16	SNCR	7371	1131554	2016
SeaWorld Entertainment, Inc.-16	SEAS	7990	1564902	2016
ACI WORLDWIDE, INC.-16	ACIW	7372	935036	2016
Demandware Inc-16	DWRE	7371	1301031	2016
EBIX INC-16	EBIX	7373	814549	2016
China Elite Information Co., Ltd.-16	PFOO	7389	1077561	2016
CSG SYSTEMS INTERNATIONAL INC-16	CSGS	7374	1005757	2016
ON ASSIGNMENT INC-16	ASGN	7363	890564	2016
STAMPS.COM INC-16	STMP	7389	1082923	2016
VASCO DATA SECURITY INTERNATIONAL INC-16	VDSI	7373	1044777	2016
HMS HOLDINGS CORP-16	HMSY	7389	1196501	2016
STONEMOR PARTNERS LP-16	STON	7200	1286131	2016
RingCentral Inc-16	RNG	7374	1384905	2016
WYNN LAS VEGAS LLC-16	Unknown	7011	1180638	2016
FLEETCOR TECHNOLOGIES INC-16	FLT	7389	1175454	2016
TWITTER, INC.-16	TWTR	7370	1418091	2016
Jive Software, Inc.-16	JIVE	7374	1462633	2016
APPFOLIO INC-16	APPF	7372	1433195	2016
BROADSOFT, INC.-16	BSFT	7372	1086909	2016
UNISYS CORP-16	UIS	7373	746838	2016
ALLSCRIPTS HEALTHCARE SOLUTIONS, INC.-16	MDRX	7373	1124804	2016
Endurance International Group Holdings, Inc.-16	EIGI	7372	1237746	2016
Caesars Growth Properties Holdings, LLC-16	Unknown	7011	1635863	2016
ENVESTNET, INC.-16	ENV	7389	1337619	2016
MGM Resorts International-16	MGM	7011	789570	2016
HEARTLAND PAYMENT SYSTEMS INC-16	HPY	7389	1144354	2016
Station Casinos LLC-16	Unknown	7011	1503579	2016
SYKES ENTERPRISES INC-16	SYKE	7373	1010612	2016
Diamond Resorts International, Inc.-16	DRII	7011	1566897	2016
REALPAGE INC-16	RP	7372	1286225	2016
WebMD Health Corp.-16	WBMD	7389	1326583	2016
Caesars Acquisition Co-16	CACQ	7011	1575879	2016
Criteo S.A.-16	Unknown	7311	1576427	2016
Activision Blizzard, Inc.-16	ATVI	7372	718877	2016
YAHOO INC-16	YHOO	7373	1011006	2016
CVENT INC-16	CVT	7372	1122897	2016
SP Plus Corp-16	STAN	7510	1059262	2016
EPIQ SYSTEMS INC-16	EPIQ	7371	1027207	2016
Broke Out Inc.-16	Unknown	7372	1634942	2016
PDF SOLUTIONS INC-16	PDFS	7371	1120914	2016
Red Lion Hotels CORP-16	RLH	7011	1052595	2016
DEMAND MEDIA INC.-16	DMD	7374	1365038	2016
Crexendo, Inc.-16	EXE	7373	1075736	2016
Macquarie Equipment Leasing Fund, LLC-16	Unknown	7359	1446714	2016
RCM TECHNOLOGIES INC-16	RCMT	7363	700841	2016
