CONFORMED-NAME	SIC	CIK	YEAR
CHURCHILL DOWNS INC-96	7948	20212	1996
DYNAMICS RESEARCH CORP-96	7373	30822	1996
WESTIN HOTELS LTD PARTNERSHIP-96	7011	790549	1996
SOTHEBYS HOLDINGS INC-96	7389	823094	1996
PEGASUS AIRCRAFT PARTNERS L P-96	7359	835900	1996
DATA TRANSMISSION NETWORK CORP-96	7370	790498	1996
TCC EQUIPMENT INCOME FUND-96	7359	820083	1996
POLARIS AIRCRAFT INCOME FUND V-96	7359	832923	1996
PREMIER PARKS INC-96	7011	701374	1996
POLARIS AIRCRAFT INCOME FUND IV-96	7359	818145	1996
SONESTA INTERNATIONAL HOTELS CORP-96	7011	91741	1996
AMERICAN ENTERTAINMENT PARTNERS LP-96	7812	793078	1996
INTERPUBLIC GROUP OF COMPANIES INC-96	7311	51644	1996
AIRCOA HOTEL PARTNERS L P-96	7011	812591	1996
KEANE INC-96	7371	54883	1996
GOLF HOST RESORTS INC-96	7011	42429	1996
SHARED TECHNOLOGIES INC-96	7385	817632	1996
BOYD GAMING CORP-96	7990	906553	1996
CHILDROBICS INC-96	7990	921685	1996
NEW IMAGE INDUSTRIES INC-96	7373	853706	1996
CAPITAL GAMING INTERNATIONAL INC /NJ/-96	7900	867443	1996
PMT SERVICES INC /TN/-96	7389	923410	1996
INTERNATIONAL THOROUGHBRED BREEDERS INC-96	7948	320573	1996
COMMUNICATIONS & ENTERTAINMENT CORP-96	7812	863061	1996
BESTWAY INC-96	7359	4344	1996
INTUIT INC-96	7372	896878	1996
CMG INFORMATION SERVICES INC-96	7331	914712	1996
DATA PROCESSING RESOURCES CORP-96	7373	1005700	1996
ABR INFORMATION SERVICES INC-96	7374	920985	1996
J2 COMMUNICATIONS /CA/-96	7812	798078	1996
ACCELER8 TECHNOLOGY CORP-96	7371	1023185	1996
NMC CORP-96	7359	72170	1996
KING WORLD PRODUCTIONS INC-96	7822	756764	1996
ITEX CORPORATION-96	7389	860518	1996
UPTOWNER INNS INC-96	7011	102267	1996
MARRIOTT HOTEL PROPERTIES LTD PARTNERSHIP-96	7011	784711	1996
MICRO HOLDING CORP-96	7377	793629	1996
FACTSET RESEARCH SYSTEMS INC-96	7370	1013237	1996
STERLING COMMERCE INC-96	7372	1005291	1996
ROLLINS TRUCK LEASING CORP-96	7510	84244	1996
STERLING SOFTWARE INC-96	7372	716714	1996
UNITEL VIDEO INC/DE-96	7819	740103	1996
COBB THEATRES LLC-96	7830	1011152	1996
BRODERBUND SOFTWARE INC /DE/-96	7372	812490	1996
TODD AO CORP-96	7819	61442	1996
SOUTHMARK SAN JUAN INC-96	7990	819437	1996
EXPLORATION CO-96	7500	313395	1996
XTRA CORP /DE/-96	7359	217591	1996
PONDER INDUSTRIES INC-96	7359	859917	1996
ACCLAIM ENTERTAINMENT INC-96	7372	804888	1996
ADVO INC-96	7331	801622	1996
DATA RESEARCH ASSOCIATES INC-96	7374	887085	1996
SEATTLE FILMWORKS INC-96	7384	791050	1996
MPSI SYSTEMS INC-96	7370	714540	1996
